Name,RA,Dec,Magnitude
Sirius,6.75, -16.72, -1.46
Canopus,6.39, -52.69, -0.74
Rigil Kentaurus & Toliman,14.66, -60.83, -0.27
Arcturus,14.26, 19.18, -0.05
Vega,18.62, 38.78, 0.03
Capella,5.28, 46.00, 0.08
Rigel,5.24, -8.20, 0.12
Procyon,7.65, 5.22, 0.34
Achernar,1.63, -57.24, 0.46
Betelgeuse,5.92, 7.41, 0.50
Hadar,14.06, -60.37, 0.61
Altair,19.85, 8.87, 0.77
Acrux,12.44, -63.09, 0.77
Aldebaran,4.60, 16.51, 0.85
Antares,16.49, -26.43, 0.96
Spica,13.42, -11.16, 0.98
Pollux,7.75, 28.03, 1.14
Fomalhaut,22.96, -29.62, 1.16
Deneb,20.69, 45.28, 1.25
Mimosa,12.80, -59.69, 1.25
Regulus,10.14, 11.97, 1.35
Adhara,6.97, -28.97, 1.50
Shaula,17.56, -37.10, 1.62
Castor,7.58, 31.89, 1.94
Gacrux,12.52, -57.11, 1.63
Bellatrix,5.42, 6.35, 1.64
El Nath,5.44, 28.61, 1.65
Miaplacidus,9.22, -69.72, 1.67
Alnilam,5.60, -1.21, 1.70
Alnair,22.14, -46.96, 1.72
Alnitak,5.68, -1.94, 1.74
Alioth,12.90, 55.96, 1.76
Dubhe,11.06, 61.75, 1.81
Mirfak,3.40, 49.86, 1.85
Wezen,7.14, -26.39, 1.83
Sargas,17.56, -42.99, 1.86
Kaus Australis,18.40, -34.38, 1.85
Avior,8.38, -59.51, 1.86
Alkaid,13.79, 49.31, 1.85
Menkalinan,5.99, 44.95, 1.90
Atria,16.81, -69.03, 1.91
Alhena,6.63, 16.40, 1.93
Peacock,20.43, -56.74, 1.94
Alsephina,9.06, -55.01, 2.06
Mirzam,6.38, -17.95, 1.98
Alphard,9.46, -8.66, 1.98
Hamal,2.12, 23.46, 2.01
Polaris,2.53, 89.26, 2.02
Beta Tauri,5.44, 28.61, 1.65
