NGC,Messier,Name,Type,Constellation,Magnitude,Distance,RA,Dec,Width,Height,PosAng
NGC 1952,M1,Crab Nebula,Supernova Remnant,Taurus,8.4,6300,5.575,22.016666666666666,6.0,4.0,0.0
NGC 7089,M2,-,Globular Cluster,Aquarius,6.5,37500,21.55833333333333,-0.8166666666666667,12.9,12.9,0.0
NGC 5272,M3,-,Globular Cluster,Canes Venatici,6.2,33900,13.703333333333331,28.38333333333333,16.2,16.2,0.0
NGC 6121,M4,-,Globular Cluster,Scorpius,5.6,7200,16.393333333333334,-26.53333333333333,26.3,26.3,0.0
NGC 5904,M5,-,Globular Cluster,Serpens Caput,5.6,24500,15.31,2.083333333333333,17.4,17.4,0.0
NGC 6405,M6,Butterfly Cluster,Open Cluster,Scorpius,5.3,2000,17.668333333333333,-32.21666666666667,25.0,25.0,0.0
NGC 6475,M7,Ptolemy's Cluster,Open Cluster,Scorpius,4.1,800,17.898333333333333,-34.81666666666667,80.0,80.0,0.0
NGC 6523,M8,Lagoon Nebula,Diffuse Nebula,Sagittarius,6.0,5200,18.063333333333333,-24.38333333333333,90.0,40.0,0.0
NGC 6333,M9,-,Globular Cluster,Ophiucus,7.7,26700,17.32,-18.516666666666666,9.3,9.3,0.0
NGC 6254,M10,-,Globular Cluster,Ophiucus,6.6,14400,16.951666666666668,-4.1,15.1,15.1,0.0
NGC 6705,M11,Wild Duck Cluster,Open Cluster,Scutum,6.3,6000,18.851666666666667,-6.266666666666668,14.0,14.0,0.0
NGC 6218,M12,-,Globular Cluster,Ophiucus,6.7,16000,16.786666666666665,-1.95,14.5,14.5,0.0
NGC 6205,M13,Hercules Globular Cluster,Globular Cluster,Hercules,5.8,22800,16.695,36.46666666666667,16.6,16.6,0.0
NGC 6402,M14,-,Globular Cluster,Ophiucus,7.6,27400,17.626666666666665,-3.25,11.7,11.7,0.0
NGC 7078,M15,-,Globular Cluster,Pegasus,6.2,33600,21.5,12.166666666666664,12.3,12.3,0.0
NGC 6611,M16,Eagle Nebula Cluster,Open Cluster,Serpens Claudia,6.4,7000,18.313333333333333,-13.783333333333331,7.0,7.0,0.0
NGC 6618,M17,Omega. Swan. Horseshoe Nebula,Diffuse Nebula,Sagittarius,7.0,5000,18.346666666666668,-16.183333333333334,11.0,11.0,0.0
NGC 6613,M18,-,Open Cluster,Sagittarius,7.5,4900,18.331666666666667,-17.133333333333333,9.0,9.0,0.0
NGC 6273,M19,-,Globular Cluster,Ophiucus,6.8,27100,17.043333333333333,-26.266666666666666,13.5,13.5,0.0
NGC 6514,M20,Trifid Nebula,Diffuse Nebula,Sagittarius,9.0,5200,18.03833333333333,-23.03333333333333,28.0,28.0,0.0
NGC 6531,M21,-,Open Cluster,Sagittarius,6.5,4250,18.076666666666668,-22.5,13.0,13.0,0.0
NGC 6656,M22,-,Globular Cluster,Sagittarius,5.1,10100,18.606666666666666,-23.9,24.0,24.0,0.0
NGC 6494,M23,-,Open Cluster,Sagittarius,6.9,2150,17.946666666666665,-19.016666666666666,27.0,27.0,0.0
NGC 6603,M24,Milky Way Patch,Star Cloud,Sagittarius,4.6,10000,18.306666666666665,-18.416666666666668,90.0,90.0,0.0
-,M25,IC 4725,Open Cluster,Sagittarius,6.5,2000,18.52833333333333,-19.23333333333333,40.0,40.0,0.0
NGC 6694,M26,-,Open Cluster,Scutum,8.0,5000,18.75333333333333,-9.4,15.0,15.0,0.0
NGC 6853,M27,Dumbbell Nebula,Planetary Nebula,Vulpecula,7.4,1250,19.99333333333333,22.716666666666665,8.0,5.7,0.0
NGC 6626,M28,-,Globular Cluster,Sagittarius,6.8,17900,18.40833333333333,-24.86666666666667,11.2,11.2,0.0
NGC 6913,M29,-,Open Cluster,Cygnus,7.1,4000,20.398333333333333,38.53333333333333,7.0,7.0,0.0
NGC 7099,M30,-,Globular Cluster,Capricornus,7.2,24800,21.67333333333333,-23.18333333333333,11.0,11.0,0.0
NGC 224,M31,Andromeda Galaxy,Spiral Galaxy,Andromeda,3.4,2900000,0.7116666666666667,41.266666666666666,178.0,63.0,0.0
NGC 221,M32,Satellite of M31,Elliptical Galaxy,Andromeda,8.1,2900000,0.7116666666666667,40.86666666666667,8.0,6.0,0.0
NGC 598,M33,Triangulum/Pinwheel Galaxy,Spiral Galaxy,Triangulum,5.7,3000000,1.565,30.65,73.0,45.0,0.0
NGC 1039,M34,-,Open Cluster,Perseus,5.5,1400,2.7,42.78333333333333,35.0,35.0,0.0
NGC 2168,M35,-,Open Cluster,Gemini,5.3,2800,6.1483333333333325,24.33333333333333,28.0,28.0,0.0
NGC 1960,M36,-,Open Cluster,Auriga,6.3,4100,5.601666666666668,34.13333333333333,12.0,12.0,0.0
NGC 2099,M37,-,Open Cluster,Auriga,6.2,4400,5.873333333333332,32.55,24.0,24.0,0.0
NGC 1912,M38,-,Open Cluster,Auriga,7.4,4200,5.4783333333333335,35.833333333333336,21.0,21.0,0.0
NGC 7092,M39,-,Open Cluster,Cygnus,5.2,825,21.536666666666665,48.43333333333333,32.0,32.0,0.0
Winecke 4,M40,-,Double Star,Ursa Major,9.0,510,12.37,58.08333333333334,0.8170000000000001,0.8170000000000001,0.0
NGC 2287,M41,-,Open Cluster,Canis Major,4.6,2300,6.783333333333332,-20.73333333333333,38.0,38.0,0.0
NGC 1976,M42,Great Orion Nebula,Diffuse Nebula,Orion,4.0,1600,5.59,-5.45,85.0,60.0,0.0
NGC 1982,M43,de Mairan's Nebula,Diffuse Nebula,Orion,9.0,1600,5.593333333333334,-5.266666666666667,20.0,15.0,0.0
NGC 2632,M44,Beehive Cluster (Praesepe),Open Cluster,Cancer,3.7,577,8.668333333333333,19.98333333333333,95.0,95.0,0.0
-,M45,"Seven Sisters,Pleiades. Subaru.",Open Cluster,Taurus,1.6,380,3.783333333333333,24.12,110.0,110.0,0.0
NGC 2437,M46,-,Open Cluster,Puppis,6.0,5400,7.696666666666666,-14.816666666666665,27.0,27.0,0.0
NGC 2422,M47,-,Open Cluster,Puppis,5.2,1600,7.61,-14.5,30.0,30.0,0.0
NGC 2548,M48,-,Open Cluster,Hydra,5.5,1500,8.23,-5.8,54.0,54.0,0.0
NGC 4472,M49,-,Elliptical Galaxy,Virgo,8.4,60000000,12.496666666666664,8.0,9.0,7.5,0.0
NGC 2323,M50,-,Open Cluster,Monocerus,6.3,3000,7.053333333333334,-8.333333333333334,16.0,16.0,0.0
NGC 5194,M51,Whirlpool Galaxy,Spiral Galaxy,Canes Venatici,8.4,37000000,13.498333333333331,47.2,11.0,7.0,0.0
NGC 7654,M52,-,Open Cluster,Cassiopeia,7.3,5000,23.40333333333333,61.58333333333334,13.0,13.0,0.0
NGC 5024,M53,-,Globular Cluster,Coma Berenices,7.6,56400,13.215,18.166666666666668,12.6,12.6,0.0
NGC 6715,M54,-,Globular Cluster,Sagittarius,7.6,82800,18.918333333333333,-30.48333333333333,9.1,9.1,0.0
NGC 6809,M55,-,Globular Cluster,Sagittarius,6.3,16600,19.666666666666668,-30.966666666666665,19.0,19.0,0.0
NGC 6779,M56,-,Globular Cluster,Lyra,8.3,31600,19.276666666666667,30.18333333333333,7.1,7.1,0.0
NGC 6720,M57,Ring Nebula,Planetary Nebula,Lyra,8.8,4100,18.89333333333333,33.03333333333333,1.4,1.0,0.0
