NGC,Name,Type,Constellation,Magnitude,RA,Dec,Size
I5370,,Gx,And,15.0,0.0016666666666666668,32.75,0.7
I5371,,,And,,0.0033333333333333335,32.81666666666667,
7801,,-,Cas,,0.006666666666666667,50.7,
I5372,,Gx,And,15.0,0.006666666666666667,32.78333333333333,0.7
I5373,,Gx,And,15.0,0.006666666666666667,32.78333333333333,0.7
7802,,Gx,Psc,14.0,0.018333333333333333,6.216666666666667,
I5374,,,Psc,,0.018333333333333333,4.5,
I5375,,Gx,Psc,14.0,0.018333333333333333,4.516666666666667,0.9
7804,,,Psc,,0.021666666666666667,7.75,
7803,,Gx,Peg,14.0,0.02333333333333333,13.1,
7805,,Gx,Peg,14.0,0.02333333333333333,31.433333333333334,1.4
I5376,,Gx,And,15.0,0.02333333333333333,34.53333333333333,2.1
7806,,Gx,Peg,14.0,0.025,31.45,1.3
I1526,,Gx,Peg,15.0,0.02666666666666667,11.35,
I5377,,Gx,Peg,16.0,0.035,16.6,1.3
7809,,Gx,Psc,15.0,0.03666666666666667,2.9333333333333336,
7810,,Gx,Peg,14.0,0.04,12.95,
I1527,,,Psc,,0.04,4.116666666666666,
7811,,Gx,Psc,15.0,0.041666666666666664,3.3333333333333335,
I5378,,,Peg,,0.043333333333333335,16.616666666666667,
I5379,,,Peg,,0.045000000000000005,16.583333333333332,
I5380,,,Tuc,,0.045000000000000005,-66.18333333333334,
7812,,Gx,Scl,,0.04833333333333333,-34.25,
7813,,Gx,Cet,15.0,0.05333333333333334,-11.983333333333333,
I5381,,Gx,Peg,,0.05333333333333334,15.966666666666667,1.5
7814,,Gx,Peg,10.5,0.055,16.15,6.3
7815,,-,Peg,,0.056666666666666664,20.683333333333334,
I5382,,,Tuc,,0.056666666666666664,-65.18333333333334,
7808,,Gx,Cet,14.0,0.058333333333333334,-10.75,
7822,,Nb,Cep,,0.060000000000000005,68.61666666666666,60.0
7816,,Gx,Psc,14.0,0.06333333333333332,7.466666666666667,1.9
I5383,,,Peg,,0.06333333333333332,16.0,
7817,,Gx,Peg,12.0,0.06666666666666667,20.75,3.7
7818,,Gx,Psc,15.0,0.07,7.35,
I5384,,Gx,Cet,15.0,0.07,-11.966666666666667,0.8
7819,,Gx,Peg,14.0,0.07333333333333333,31.483333333333334,2.0
7820,,Gx,Psc,14.0,0.07666666666666666,5.183333333333334,
7823,,Gx,Tuc,,0.08,-62.06666666666667,1.4
I1528,,,Psc,,0.08499999999999999,-3.1166666666666667,
7824,,Gx,Psc,14.0,0.08666666666666667,6.9,
7825,,Gx,Psc,15.0,0.08666666666666667,5.2,
7826,,-,Cet,,0.08666666666666667,-20.733333333333334,
I1529,,,Cet,,0.08666666666666667,-11.5,
7821,,Gx,Cet,14.0,0.08833333333333333,-16.483333333333334,
7827,,Gx,Psc,14.0,0.09166666666666666,5.216666666666667,
7830,,*,Psc,,0.10333333333333333,8.366666666666667,
7828,,Gx,Cet,,0.10666666666666667,-13.4,
7829,,Gx,Cet,,0.10666666666666667,-13.4,
I5385,,,Psc,,0.10666666666666667,-0.06666666666666667,
7833,,-,Peg,,0.10833333333333334,27.633333333333333,
I5386,,,Psc,,0.10833333333333334,-3.716666666666667,
7832,,Gx,Psc,13.0,0.11,-3.7,
7834,,Gx,Psc,15.0,0.11166666666666666,8.35,
7835,,Gx,Psc,15.0,0.11333333333333333,8.416666666666666,
7837,,Gx,Psc,16.0,0.115,8.333333333333334,
7838,,Gx,Psc,15.0,0.11666666666666667,8.333333333333334,
7839,,D*,Peg,,0.11666666666666667,27.633333333333333,
7840,,Gx,Psc,,0.11833333333333333,8.55,
1,,Gx,Peg,13.0,0.12166666666666666,27.716666666666665,1.9
2,,Gx,Peg,15.0,0.12166666666666666,27.683333333333334,1.4
3,,Gx,Psc,14.0,0.12166666666666666,8.283333333333333,
7831,,Gx,And,14.0,0.12166666666666666,32.583333333333336,
I1530,,Gx,And,,0.12166666666666666,32.61666666666667,1.8
4,,Gx,Psc,,0.12333333333333334,8.366666666666667,
5,,Gx,And,14.0,0.13,35.35,
7836,,Gx,And,,0.13333333333333333,33.06666666666667,1.2
6,,-,And,,0.13833333333333334,32.5,
7,,Gx,Scl,,0.14,-29.916666666666668,2.5
I   1,,D*,Peg,,0.14,27.716666666666665,
10,,Gx,Scl,,0.14333333333333334,-33.86666666666667,2.7
11,,Gx,And,14.0,0.145,37.43333333333333,
12,,Gx,Psc,15.0,0.145,4.616666666666667,1.9
8,,D*,Peg,,0.14666666666666667,23.833333333333332,
13,,Gx,And,14.0,0.14666666666666667,33.43333333333333,2.7
14,,Gx,Peg,12.0,0.14666666666666667,15.816666666666666,3.0
9,,Gx,Peg,15.0,0.14833333333333334,23.816666666666666,1.5
15,,Gx,Peg,15.0,0.15166666666666667,21.6,
16,,Gx,Peg,12.0,0.15166666666666667,27.733333333333334,2.1
18,,D*,Peg,,0.15666666666666668,27.716666666666665,
19,,-,And,,0.15666666666666668,32.833333333333336,
20,,Gx,And,15.0,0.15833333333333333,33.31666666666667,2.0
I1531,,Gx,Scl,,0.16,-32.28333333333333,1.9
22,,Gx,Peg,15.0,0.16333333333333336,27.833333333333332,
23,,Gx,Peg,12.0,0.165,25.916666666666668,2.3
24,,Gx,Scl,11.5,0.165,-24.966666666666665,5.5
25,,Gx,Phe,,0.165,-57.05,
I1532,,Gx,Tuc,,0.165,-64.36666666666666,1.6
28,,Gx,Phe,,0.1716666666666667,-57.016666666666666,
26,,Gx,Peg,14.0,0.17333333333333334,25.833333333333332,2.2
27,,Gx,And,14.0,0.175,29.0,
31,,Gx,Phe,,0.175,-57.0,
I1533,,,Cet,,0.17666666666666667,-7.416666666666667,
21,,Gx,And,14.0,0.17833333333333332,32.983333333333334,1.4
29,,Gx,And,14.0,0.18000000000000002,33.35,1.8
30,,D*,Peg,,0.18000000000000002,21.95,
32,,Ast,Peg,,0.18166666666666667,18.783333333333335,
33,,D*,Psc,,0.18166666666666667,3.6666666666666665,
17,,,Cet,,0.18333333333333332,-12.1,
I   2,,Gx,Cet,,0.18333333333333332,-12.816666666666666,
34,,Gx,Cet,13.0,0.185,-12.1,
35,,Gx,Cet,14.0,0.18666666666666665,-12.0,
37,,Gx,Phe,,0.18833333333333335,-56.96666666666667,
36,,Gx,Psc,15.0,0.19,6.383333333333334,2.4
38,,Gx,Psc,13.0,0.19833333333333333,-5.6,
I   3,,Gx,Psc,,0.20166666666666666,-0.4166666666666667,
39,,Gx,And,14.0,0.20500000000000002,31.05,
41,,Gx,Peg,14.0,0.21333333333333335,22.033333333333335,
42,,Gx,Peg,15.0,0.215,22.1,
40,,Pl,Cep,11.0,0.21666666666666667,72.53333333333333,0.6
43,,Gx,And,14.0,0.21666666666666667,30.9,
44,,-,And,,0.21833333333333332,31.283333333333335,
I   4,,Gx,Peg,,0.22333333333333333,17.483333333333334,
I1534,,,And,,0.23,48.15,
48,,Gx,And,15.0,0.23333333333333334,48.233333333333334,1.7
I1535,,,And,,0.23333333333333334,48.15,
45,,Gx,Cet,10.4,0.235,-23.183333333333334,8.1
46,,*,Psc,,0.235,5.983333333333333,
I1536,,Gx,And,15.0,0.23666666666666666,48.13333333333333,0.7
49,,Gx,And,15.0,0.23833333333333334,48.233333333333334,
47,,Gx,Cet,13.0,0.24166666666666667,-7.183333333333334,
58,,,Cet,,0.24166666666666667,-7.166666666666667,
51,,Gx,And,15.0,0.24333333333333332,48.25,1.8
52,,Gx,Peg,14.0,0.24333333333333332,18.55,
50,,Gx,Cet,,0.245,-7.333333333333333,
53,,Gx,Tuc,,0.245,-60.333333333333336,2.1
55,,Gx,Scl,8.0,0.24833333333333335,-39.18333333333333,32.4
